Application,Deployment,Load,Target service,Service,Backend,Requests,Fails,Median latency (ms),Average latency (ms),p95 latency (ms),p99 latency (ms),CPU (%),Memory (%),Service p50 latency (ms),Service p95 latency (ms),Service p99 latency (ms),Metric source,Data quality
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,paymentservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,0.0107,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,shippingservice,faas,44984,507,840.00,1101.85,2100.00,6200.00,0.0577,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,adservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,34.4133,,5.81,85.97,99.76,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,recommendationservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,27.0893,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,redis-cart,iaas,44984,507,840.00,1101.85,2100.00,6200.00,3.8535,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,frontend,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,42.0853,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,productcatalogservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,15.8718,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,cartservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,1.6702,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,checkoutservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,0.0003,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,currencyservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,26.1668,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
